"log_id","timestamp","http_method"
"1","2023-04-26 20:10:08","DELETE"
"2","2023-04-27 13:44:27","DELETE"
"3","2023-04-27 13:53:33","DELETE"
"4","2023-04-27 13:56:34","DELETE"
"5","2023-04-27 13:57:11","DELETE"
"6","2023-04-27 13:57:38","DELETE"
"7","2023-04-27 14:05:45","POST"
"8","2023-04-27 14:05:52","DELETE"
"9","2023-04-27 14:06:17","POST"
"10","2023-04-27 14:06:19","DELETE"
"11","2023-04-27 14:06:33","POST"
"12","2023-04-27 14:06:39","POST"
"13","2023-04-27 14:06:41","DELETE"
"14","2023-04-27 14:06:43","PATCH"
"15","2023-04-28 08:22:09","POST"
"16","2023-04-28 08:22:13","DELETE"
"17","2023-04-28 08:23:36","POST"
"18","2023-04-28 08:23:39","DELETE"
"19","2023-04-28 08:34:05","POST"
"20","2023-04-28 08:35:38","POST"
"21","2023-04-29 09:17:57","POST"
"22","2023-04-29 09:17:58","DELETE"
"23","2023-04-29 09:18:07","DELETE"
"24","2023-04-29 09:23:39","DELETE"
"25","2023-04-29 09:31:24","POST"
"26","2023-04-29 09:35:40","DELETE"
"27","2023-04-29 10:05:19","POST"
"28","2023-04-29 10:05:41","DELETE"
"29","2023-04-29 10:07:39","POST"
"30","2023-04-29 10:08:51","DELETE"
"31","2023-04-29 10:09:05","POST"
